组别,日语,汉语,注释
15,行かせてください。,请让我去。,…せる：使动句
15,李さんを家に帰らせます。,我叫小李回家。,家：いえ，帰る：かえる，…せる：使动句
15,毎朝母は私にミルクを買わせます。,每天早晨，母亲让我去买牛奶。,毎朝：まいあさ，母：はは，ミルク：milk，買う：かう，…せる：使动句
15,父に東京へ行かされます。,父亲硬叫我去东京。,東京：とうきょう，…されます：使役被动句
15,王さんにお酒を飲まされます。,小王硬让我喝酒。,王さん：おうさん，お酒：おさけ，飲む：のむ，…されます：使役被动句
17,この計画について彼に何回も説明したので，分ったはずです。私はいま彼がこの計画に反対するわけが分りません。,关于这项计划已经向他多次说明，应该很明白了。我不明白他现在反对这项计划的原因。,計画：けいかく，…について：关于…，彼：かれ，何回も：なんかいも：一次又一次，説明：せつめい，…ので：由于…，分る：わかる：明白，反対：はんたい，…わけ：…的原因
17,あなたが日本の仏教に興味を持つわけは何ですが。五年前私は竜安寺を見て，すごく感動しましたが，その時ある人が私に「仏教が分らなければ日本の庭園のほんとうの意味が分らない。」と言いました。それから仏教の研究を始めました。,您对日本的佛教感兴趣的原因是什么？五年前，我看了龙安寺的庭园后很感动，那时有人告诉我说：不懂得佛教就不懂得日本庭园的真正意义。于是我开始研究佛教了。,あなた：貴方，仏教：ぶっきょう，興味：きょうみ，持つ：もつ，…わけ：…的原因，五年：ごねん，前：まえ，竜安寺：りゅうあんじ，感動：かんどう，時：とき，ある人：あるひと：某人，庭園：ていえん，ほんとう：本当に：真正的，研究：けんきゅう
18,もう三月なのに，が北京はまだ寒いなったが。,已经是三月了，可是北京却还很冷。,もう：已经，三月：さんがつ，まだ：还，寒い：さむい
18,お金がないのに車を買いました。,虽说没有钱，可是竟买车了。,お金：おかね，…のに：虽然…可是，車：くるま
18,公園で一時も待ったのに彼は来ませんでした。,在公园等了一小时之久，可是他却没有来。,公園：こうえん，一時：ひとじ，待つ：まつ，
18,本学期の授業は6月の末までです。,本学期的课到6月底为止。,学期：がっき，授業：じゅぎょう，６月：ろくがつ，末：まつ，まで：直到
18,ダブルスター靴は外国にまで有名です。,双星鞋甚至在国外都有名。,ダブルスター：doublestar，靴：ぐつ，外国：がいこく，有名：ゆうめい
19,彼はお金がなさそうな人だ。,他好像是没有钱的人。,お金：おかね，…そうだ：好像…
19,彼は以前お金があったようだ。,他好像曾经是个有钱的人。,以前：いぜん，お金：おかね，ようだ：好像
19,二年前京都で彼に会ったことがある。,两年前在京都曾遇见过他。,二年：ふたねん，前：まえ，京都：きょうと，会う：あう
19,彼はまるで商人のようだ。,他简直像个商人。,まるで：完全、简直，商人：あきんど，ようだ：像是
